course_info,date,total_click
FFF_2013J,123,15129
FFF_2014B,155,8416
GGG_2013J,119,1576
DDD_2014B,8,7569
BBB_2013B,83,5052
EEE_2014B,-6,2504
DDD_2013B,53,11375
AAA_2013J,52,3810
CCC_2014B,205,15134
CCC_2014J,203,7508
EEE_2013J,206,1649
GGG_2013J,92,2434
DDD_2013J,-13,5751
GGG_2014J,208,1816
FFF_2014J,65,19902
GGG_2014J,205,1915
GGG_2013J,106,2011
GGG_2013J,100,2199
BBB_2013J,188,2322
EEE_2013J,181,2454
BBB_2013B,90,4863
EEE_2013J,54,6387
GGG_2014B,176,2331
DDD_2014B,144,3338
FFF_2013B,164,21590
CCC_2014B,76,2697
EEE_2013J,150,11595
AAA_2013J,112,1968
DDD_2014J,147,3737
EEE_2014J,-15,3303
EEE_2013J,202,1793
EEE_2014J,199,4864
DDD_2013B,62,2889
DDD_2014B,134,3639
FFF_2014B,139,8948
CCC_2014J,61,11978
EEE_2014J,-13,3297
GGG_2014J,212,1735
FFF_2014J,58,20190
CCC_2014J,-7,5897
FFF_2013J,-16,11305
DDD_2013J,-9,5673
BBB_2014J,44,9673
AAA_2014J,231,1178
CCC_2014J,85,3040
BBB_2013B,141,3197
BBB_2013J,182,2430
AAA_2014J,208,1862
BBB_2013J,181,2463
DDD_2014B,150,3247
BBB_2013J,174,2677
CCC_2014B,-5,5303
GGG_2014B,187,2029
AAA_2013J,3,5249
FFF_2013J,17,51244
FFF_2014J,204,15656
EEE_2013J,167,2906
EEE_2014J,139,6752
EEE_2013J,216,1387
CCC_2014J,88,2931
CCC_2014B,77,2749
EEE_2013J,157,19660
FFF_2014B,172,7985
GGG_2014J,204,2013
BBB_2014J,97,8055
FFF_2014B,-11,5465
DDD_2013B,129,9066
EEE_2013J,188,2310
BBB_2014J,116,7467
BBB_2014J,88,8346
GGG_2014J,156,3510
AAA_2013J,2,5327
DDD_2013B,56,3122
CCC_2014B,84,2538
FFF_2013J,126,15118
AAA_2013J,99,2296
CCC_2014B,35,4036
DDD_2014J,45,6968
EEE_2014B,-9,2688
DDD_2014B,196,1784
BBB_2014J,183,5405
AAA_2014J,210,1839
DDD_2013J,3,13489
AAA_2013J,-9,5649
FFF_2014J,188,8004
FFF_2014J,129,18014
DDD_2013J,222,6692
GGG_2013J,94,2475
AAA_2013J,-5,5703
FFF_2014J,82,2861
GGG_2014B,177,2382
CCC_2014J,24,13180
EEE_2013J,28,7298
FFF_2014B,-14,5329
FFF_2013J,183,13133
AAA_2014J,18,7974
DDD_2014B,163,2627
CCC_2014J,25,13141
FFF_2013B,8,26268
BBB_2014J,158,6083
GGG_2014B,186,2118
DDD_2014B,127,3757
EEE_2014B,194,4608
FFF_2013B,130,30671
FFF_2014B,10,20984
GGG_2014B,202,1626
CCC_2014J,79,3270
DDD_2014J,196,2120
FFF_2014B,-6,5095
FFF_2014B,35,12016
BBB_2013B,131,3447
BBB_2014J,122,7210
FFF_2014B,82,10556
BBB_2014J,162,5980
DDD_2013B,-10,4986
BBB_2013B,148,2933
DDD_2014J,179,2609
